zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37218,1,0.0,0.0,Nov-14hr-15min
37221,2,0.0,0.0,Nov-14hr-15min
37013,3,3.0,1.0,Nov-14hr-20min
37072,2,0.0,0.0,Nov-14hr-20min
37076,1,0.0,0.0,Nov-14hr-20min
37080,1,0.0,0.0,Nov-14hr-20min
37115,2,2.0,1.0,Nov-14hr-20min
37138,1,0.0,0.0,Nov-14hr-20min
37203,2,2.0,1.0,Nov-14hr-20min
37204,1,2.0,2.0,Nov-14hr-20min
37205,2,2.0,1.0,Nov-14hr-20min
37206,2,5.0,2.5,Nov-14hr-20min
37207,3,0.0,0.0,Nov-14hr-20min
37208,1,1.0,1.0,Nov-14hr-20min
37209,2,6.0,3.0,Nov-14hr-20min
37210,2,1.0,0.5,Nov-14hr-20min
37211,4,6.0,1.5,Nov-14hr-20min
37212,2,4.0,2.0,Nov-14hr-20min
37214,2,0.0,0.0,Nov-14hr-20min
37215,1,7.0,7.0,Nov-14hr-20min
37216,1,0.0,0.0,Nov-14hr-20min
37217,1,0.0,0.0,Nov-14hr-20min
37218,1,0.0,0.0,Nov-14hr-20min
37221,2,0.0,0.0,Nov-14hr-20min
37013,3,5.0,1.6666666666666667,Nov-14hr-26min
37072,2,0.0,0.0,Nov-14hr-26min
37076,1,0.0,0.0,Nov-14hr-26min
37080,1,0.0,0.0,Nov-14hr-26min
37115,2,2.0,1.0,Nov-14hr-26min
37138,1,0.0,0.0,Nov-14hr-26min
37203,2,1.0,0.5,Nov-14hr-26min
37204,1,0.0,0.0,Nov-14hr-26min
37205,2,2.0,1.0,Nov-14hr-26min
37206,2,5.0,2.5,Nov-14hr-26min
37207,3,0.0,0.0,Nov-14hr-26min
37208,1,1.0,1.0,Nov-14hr-26min
37209,2,7.0,3.5,Nov-14hr-26min
37210,2,1.0,0.5,Nov-14hr-26min
37211,4,4.0,1.0,Nov-14hr-26min
37212,2,3.0,1.5,Nov-14hr-26min
37214,2,0.0,0.0,Nov-14hr-26min
37215,1,5.0,5.0,Nov-14hr-26min
37216,1,0.0,0.0,Nov-14hr-26min
37217,1,0.0,0.0,Nov-14hr-26min
37218,1,0.0,0.0,Nov-14hr-26min
37221,2,0.0,0.0,Nov-14hr-26min
37013,3,5.0,1.6666666666666667,Nov-14hr-31min
37072,2,0.0,0.0,Nov-14hr-31min
37076,1,0.0,0.0,Nov-14hr-31min
37080,1,0.0,0.0,Nov-14hr-31min
37115,2,2.0,1.0,Nov-14hr-31min
37138,1,0.0,0.0,Nov-14hr-31min
37203,2,1.0,0.5,Nov-14hr-31min
37204,1,0.0,0.0,Nov-14hr-31min
37205,2,2.0,1.0,Nov-14hr-31min
37206,2,5.0,2.5,Nov-14hr-31min
37207,3,0.0,0.0,Nov-14hr-31min
37208,1,1.0,1.0,Nov-14hr-31min
37209,2,7.0,3.5,Nov-14hr-31min
37210,2,1.0,0.5,Nov-14hr-31min
37211,4,4.0,1.0,Nov-14hr-31min
37212,2,3.0,1.5,Nov-14hr-31min
37214,2,0.0,0.0,Nov-14hr-31min
37215,1,5.0,5.0,Nov-14hr-31min
37216,1,0.0,0.0,Nov-14hr-31min
37217,1,0.0,0.0,Nov-14hr-31min
37218,1,0.0,0.0,Nov-14hr-31min
37221,2,0.0,0.0,Nov-14hr-31min
37013,3,3.0,1.0,Nov-14hr-36min
37072,2,2.0,1.0,Nov-14hr-36min
37076,1,3.0,3.0,Nov-14hr-36min
37080,1,0.0,0.0,Nov-14hr-36min
37115,2,1.0,0.5,Nov-14hr-36min
37138,1,0.0,0.0,Nov-14hr-36min
37203,2,1.0,0.5,Nov-14hr-36min
37204,1,0.0,0.0,Nov-14hr-36min
37205,2,0.0,0.0,Nov-14hr-36min
37206,2,6.0,3.0,Nov-14hr-36min
37207,3,0.0,0.0,Nov-14hr-36min
37208,1,3.0,3.0,Nov-14hr-36min
37209,2,5.0,2.5,Nov-14hr-36min
37210,2,1.0,0.5,Nov-14hr-36min
37211,4,4.0,1.0,Nov-14hr-36min
37212,2,3.0,1.5,Nov-14hr-36min
37214,2,0.0,0.0,Nov-14hr-36min
37215,1,4.0,4.0,Nov-14hr-36min
37216,1,2.0,2.0,Nov-14hr-36min
37217,1,0.0,0.0,Nov-14hr-36min
37218,1,0.0,0.0,Nov-14hr-36min
37221,2,0.0,0.0,Nov-14hr-36min
37013,3,3.0,1.0,Nov-14hr-42min
37072,2,2.0,1.0,Nov-14hr-42min
37076,1,3.0,3.0,Nov-14hr-42min
37080,1,0.0,0.0,Nov-14hr-42min
37115,2,1.0,0.5,Nov-14hr-42min
37138,1,0.0,0.0,Nov-14hr-42min
37203,2,1.0,0.5,Nov-14hr-42min
37204,1,0.0,0.0,Nov-14hr-42min
37205,2,0.0,0.0,Nov-14hr-42min
37206,2,2.0,1.0,Nov-14hr-42min
37207,3,2.0,0.6666666666666666,Nov-14hr-42min
37208,1,3.0,3.0,Nov-14hr-42min
37209,2,6.0,3.0,Nov-14hr-42min
37210,2,2.0,1.0,Nov-14hr-42min
37211,4,4.0,1.0,Nov-14hr-42min
37212,2,3.0,1.5,Nov-14hr-42min
37214,2,0.0,0.0,Nov-14hr-42min
37215,1,4.0,4.0,Nov-14hr-42min
37216,1,2.0,2.0,Nov-14hr-42min
37217,1,0.0,0.0,Nov-14hr-42min
37218,1,0.0,0.0,Nov-14hr-42min
37221,2,0.0,0.0,Nov-14hr-42min
37013,3,3.0,1.0,Nov-14hr-47min
37072,2,2.0,1.0,Nov-14hr-47min
37076,1,3.0,3.0,Nov-14hr-47min
37080,1,0.0,0.0,Nov-14hr-47min
37115,2,1.0,0.5,Nov-14hr-47min
37138,1,0.0,0.0,Nov-14hr-47min
37203,2,1.0,0.5,Nov-14hr-47min
37204,1,0.0,0.0,Nov-14hr-47min
37205,2,0.0,0.0,Nov-14hr-47min
37206,2,2.0,1.0,Nov-14hr-47min
37207,3,2.0,0.6666666666666666,Nov-14hr-47min
37208,1,4.0,4.0,Nov-14hr-47min
37209,2,6.0,3.0,Nov-14hr-47min
37210,2,2.0,1.0,Nov-14hr-47min
37211,4,5.0,1.25,Nov-14hr-47min
